Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
387,Pascal Struijk,DF,Leeds United,26-088,1999,8,8,720,8,0,0,0,0,0,0,1,0,0.8,0.8,0.1,0.8,1,23,3,0,0,0,0,0,0.1,0.01,0.1,0.1,0.1
388,Crysencio Summerville,"FW,MF",West Ham,24-008,2001,8,7,558,6.2,0,1,1,0,0,0,3,0,0.8,0.8,0.3,1.1,14,17,34,0,0.16,0.16,0,0.16,0.13,0.05,0.18,0.13,0.18
389,Dominik Szoboszlai,"MF,DF",Liverpool,25-013,2000,10,10,900,10,1,1,2,1,0,0,3,0,1.3,1.3,1.5,2.8,29,76,46,0.1,0.1,0.2,0.1,0.2,0.13,0.15,0.28,0.13,0.28
390,Chemsdine Talbi,"FW,MF",Sunderland,20-182,2005,10,6,564,6.3,1,1,2,1,0,0,0,0,1,1,0.3,1.3,11,4,36,0.16,0.16,0.32,0.16,0.32,0.16,0.04,0.2,0.16,0.2
391,Ao Tanaka,MF,Leeds United,27-058,1998,8,4,323,3.6,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,2,21,4,0,0,0,0,0,0.05,0.06,0.1,0.05,0.1
392,James Tarkowski,DF,Everton,32-353,1992,10,10,900,10,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.9,5,32,4,0,0,0,0,0,0.04,0.04,0.09,0.04,0.09
393,Marcus Tavernier,"MF,FW",Bournemouth,26-230,1999,10,9,766,8.5,2,1,3,2,0,0,0,0,1,1,1.4,2.4,23,33,58,0.23,0.12,0.35,0.23,0.35,0.12,0.16,0.29,0.12,0.29
394,Loum Tchaouna,"MF,FW",Burnley,22-060,2003,9,4,374,4.2,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.5,4,9,15,0.24,0,0.24,0.24,0.24,0.08,0.03,0.11,0.08,0.11
395,Jackson Tchatchoua,"DF,MF",Wolves,24-054,2001,9,3,432,4.8,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.4,10,6,34,0,0,0,0,0,0.05,0.03,0.09,0.05,0.09
396,Mathys Tel,FW,Tottenham,20-194,2005,7,3,239,2.7,1,0,1,1,0,0,0,0,0.2,0.2,0,0.2,4,3,14,0.38,0,0.38,0.38,0.38,0.08,0,0.08,0.08,0.08
397,Kenny Tete,DF,Fulham,30-029,1995,7,7,629,7,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,9,35,10,0,0,0,0,0,0.03,0.03,0.05,0.03,0.05
398,Thiago,FW,Brentford,24-134,2001,10,10,832,9.2,6,0,6,4,2,2,3,0,4.4,2.9,1.1,4,4,8,29,0.65,0,0.65,0.43,0.43,0.48,0.12,0.6,0.31,0.43
